SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 1274 	SB 	Rodríguez 	Relating to the operation of a motor vehicle in the vicinity of an unprotected road user; creating a criminal offense. 	['Safety (I0740),Vehicles & Traffic--Rules of Road (I0860),IRIS STAGNER SAFE PASSING ACT (P0676)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1274 	['HB 1236', 'filler']
SB 1275 	SB 	Taylor Van 	Relating to the appraisal for ad valorem tax purposes of certain nonexempt property used for low-income or moderate-income housing. 	['Housing--Finance (I0407),Housing--General (I0405),Taxation--Property-Appraisals & Appraisal Districts (I0792),Taxation--Property-Exemptions (I0793)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1275 	['HB 3752', 'filler']
SB 1276 	SB 	Campbell 	Relating to designation of gender-neutral bathrooms changing rooms locker rooms shower rooms and similar facilities. 	['Health--General (I0385),Political Subdivisions (I0588),Safety (I0740)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1276 	['none']
SB 1277 	SB 	Taylor Larry 	Relating to a requirement that online admission application forms for public institutions of higher education include a link to certain employment data relating to fields of study. 	['Education--Higher--Admission & Attendance (I0257),Electronic Information Systems (I0311),Labor--Workforce Development (I0495),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	03/13/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1277 	['HB 378', 'HB 802', 'filler']
SB 1278 	SB 	Taylor Larry 	Relating to educator preparation programs. 	['Education--Primary & Secondary--Teachers (I0242),EDUCATOR CERTIFICATION STATE BOARD FOR (V0492)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1278 	['HB 2924', 'filler']
SB 1279 	SB 	Taylor Larry 	Relating to restricting the use of covered information including student personally identifiable information by an operator of a website online service online application or mobile application for a school purpose. 	['Education--Primary & Secondary--General (I0230),Electronic Information Systems (I0311),Open Records (I0548),Protection of Personal Information (I0003),ADVERTISING (S2680),INTERNET (S0130)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1279 	['HB 2087', 'filler']
SB 1280 	SB 	Huffines 	Relating to the minimum amount of student instruction required to be provided by school districts. 	['Education--Primary & Secondary--Admission & Attendance (I0227),Education--Primary & Secondary--General (I0230),Education--School Districts (I0220)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1280 	['none']
SB 1281 	SB 	Huffines 	Relating to an exemption from motor carrier registration for certain vehicles transporting household goods. 	['Vehicles & Traffic--Vehicle Registration (I0845)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1281 	['none']
SB 1282 	SB 	Huffines 	Relating to prohibiting the use of automated traffic control systems. 	['Vehicles & Traffic--Rules of Road (I0860),SPEED LIMITS (S0061),TRAFFIC CONTROL (S0445),ATTORNEY GENERAL (V2811)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1282 	['none']
SB 1283 	SB 	Creighton 	Relating to reciprocity requirements for nonresident insurance agents to offer or sell insurance policies issued by the Texas Windstorm Insurance Association. 	['Insurance--Insurers & Agents (I0425),Insurance--Property & Casualty (I0442),WINDSTORM DEVICES & INSURANCE (S0308)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1283 	['HB 3018', 'filler']
SB 1284 	SB 	Taylor Van 	Relating to prescriber and dispenser reporting and access to patient prescription information under the Texas Controlled Substances Act. 	['Crimes--Drugs (I0185),Health Care Providers (I0387),MEDICINE & PRESCRIPTION DRUGS (S7338),PHARMACY TEXAS STATE BOARD OF (V0022)'] 	03/13/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1284 	['none']
SB 1285 	SB 	Creighton 	Relating to certain information or assistance provided by life insurance agents to owners of life insurance policies. 	['Insurance--Insurers & Agents (I0425),Insurance--Life & Annuities (I0423)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1285 	['HB 2581', 'HB 3008', 'filler']
SB 1286 	SB 	Bettencourt 	Relating to the system for protesting or appealing certain ad valorem tax determinations. 	['Taxation--Property-Appeal of Tax Decisions (I0796),Taxation--Property-Appraisals & Appraisal Districts (I0792),MEDIATION DISPUTE RESOLUTION & ARBITRATION (S8683),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1286 	['none']
SB 1287 	SB 	Huffines 	Relating to compliance with prohibitions regarding the use of common core state standards in public schools. 	['Education--Primary & Secondary--Curriculum (I0228),EDUCATION STATE BOARD OF (V0086)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1287 	['HB 1069', 'filler']
SB 1288 	SB 	Taylor Larry, Schwertner 	Relating to the United States history end-of-course assessment instrument for public high school students. 	['Education--Primary & Secondary--Testing (I0229),Education--School Districts (I0220),EDUCATION COMMISSIONER OF (V9954)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1288 	['HB 1776', 'filler']
SB 1289 	SB 	Creighton 	Relating to the purchase of iron and steel products made in the United States for certain governmental entity projects. 	['Purchasing--General (I0642),Purchasing--Local (I0644),Purchasing--State (I0643),State Agencies Boards & Commissions (I0749)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1289 	['HB 2780', 'filler']
SB 1290 	SB 	Creighton 	Relating to access to criminal history record information by an emergency communication district. 	['City Government--General (I0060),County Government--General (I0096),Criminal Procedure--General (I0208),Health--Emergency Services & Personnel (I0384),Political Subdivisions (I0588),CRIMINAL RECORDS (S0008)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1290 	['HB 2317', 'filler']
SB 1291 	SB 	Creighton 	Relating to permits for oversize and overweight vehicles in a certain county. 	['CHAMBERS COUNTY (G0175),Highways (I0390),Vehicles & Traffic--Rules of Road (I0860),PERMITS (S0011),VEHICLE WEIGHT LIMITS & ENFORCEMENT (S0272)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1291 	['HB 2778', 'filler']
SB 1292 	SB 	Creighton 	Relating to the creation of a revolving loan program to finance ship channel improvements. 	['Special Districts & Authorities--Navigation & Ports (I0765),LOANS (S0117),TRANSPORTATION COMMISSION TEXAS (V0040),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1292 	['HB 3941', 'filler']
SB 1293 	SB 	Buckingham 	Relating to a prohibition on requiring a gift or grant to be made to a district or county attorney or a commissioners court as a condition of a defendant's pretrial intervention agreement. 	['County Government--Employees/Officers (I0095),Courts--Prosecuting Attorneys (I0165),Ethics (I0345),GIFTS & DONATIONS (S0122)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1293 	['none']
SB 1294 	SB 	Buckingham 	Relating to election of professional staff representatives to certain school district planning and decision-making committees. 	['Education--Primary & Secondary--Teachers (I0242),Education--School Districts (I0220)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1294 	['none']
SB 1295 	SB 	Lucio 	Relating to an insurance premium tax credit for investment in certain communities; imposing a monetary penalty; authorizing fees. 	['Economic & Industrial Development--General (I0214),Economic & Industrial Development--Rural (I0212),Insurance--General (I0445),Taxation--General (I0815),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1295 	['HB 2453', 'filler']
SB 1296 	SB 	Huffman 	Relating to the review of ballot proposition language for certain political subdivision elections. 	['Courts--Judges (I0140),Elections--General (I0310)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1296 	['none']
SB 1297 	SB 	Huffman 	Relating to enhancing the penalties for certain repeat and habitual offenders. 	['Criminal Procedure--Sentencing & Punishment (I0205),RECIDIVISM & REPEAT OFFENDERS (S4348)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1297 	['HB 383', 'filler']
SB 1298 	SB 	Huffman 	Relating to the selection and summons of prospective grand jurors. 	['Courts--Juries (I0145),Criminal Procedure--General (I0208)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1298 	['HB 991', 'filler']
SB 1299 	SB 	Huffman 	Relating to access to criminal history record information. 	['Criminal Procedure--General (I0208),Protection of Personal Information (I0003),CRIMINAL RECORDS (S0008)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1299 	['none']
SB 1300 	SB 	Perry 	Relating to the designation of the San Angelo State Supported Living Center as a forensic state supported living center. 	['Health--General (I0385),Mental Health & Substance Abuse (I0019),State Agencies Boards & Commissions (I0749),ASSISTED LIVING FACILITIES (S0617),AGING & DISABILITY SERVICES DEPARTMENT OF (V0462)'] 	03/13/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1300 	['HB 3420', 'filler']
SB 1301 	SB 	Creighton 	Relating to verification of alcohol content for prior approval of malt beverages. 	['Alcoholic Beverage Regulation (I0025),ALCOHOLIC BEVERAGE COMMISSION TEXAS (V0472)'] 	03/14/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1301 	['HB 2299', 'filler']
SB 1302 	SB 	Lucio 	Relating to the authority of the Texas Military Department to purchase food and beverages. 	['Military & Veterans (I0535),Purchasing--State (I0643),FOOD (S0761),MILITARY DEPARTMENT TEXAS (V0971)'] 	03/14/2017 	Referred to Vet Affairs & Border Security 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1302 	['HB 1606', 'filler']
SB 1303 	SB 	Lucio 	Relating to the establishment of school district policies regarding the marketing and commercial advertising of food products on school district property. 	['Business & Commerce--General (I0050),Education--Primary & Secondary--General (I0230),Minors--Health & Safety (I0533),ADVERTISING (S2680),FOOD (S0761)'] 	03/14/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1303 	['none']
SB 1304 	SB 	Perry 	Relating to confidentiality sharing sealing and destruction of juvenile records. 	['Crimes--Juvenile (I0190),Family--Juvenile Delinquency (I0360),Minors--Juvenile Justice (I0534),CRIMINAL RECORDS (S0008),JUVENILE JUSTICE DEPARTMENT TEXAS (V0846),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	03/14/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1304 	['HB 2863', 'filler']
SB 1305 	SB 	Nichols 	Relating to the abolishment of the transportation infrastructure fund and the grant program using money from the fund. 	['County Government--Roads (I0099),Energy--General (I0315),Taxation--Property-Assessment & Collection (I0798),Transportation--Miscellaneous (I0824),TRANSPORTATION INFRASTRUCTURE FUND (S0753)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1305 	['HB 2813', 'filler']
SB 1306 	SB 	Creighton, Taylor Larry 	Relating to the enforcement of workers' compensation compliance and practice requirements. 	["Labor--Workers' Compensation (I0470),SUBPOENAS (S8341),WORKFORCE COMMISSION TEXAS (V0470)"] 	03/14/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1306 	['HB 2053', 'filler']
SB 1307 	SB 	Hall 	Relating to the authority of the State Commission on Judicial Conduct to discipline judges. 	['Courts--General (I0160),Courts--Judges (I0140),State Agencies Boards & Commissions (I0749),JUDICIAL CONDUCT STATE COMMISSION ON (V0014)'] 	03/14/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1307 	['HB 3135', 'filler']
SB 1308 	SB 	Hall 	Relating to the program to provide free or reduced-price meals to certain public school students. 	['Education--Primary & Secondary--Finance (I0250),Education--Primary & Secondary--General (I0230),Education--School Districts (I0220),FOOD (S0761),NUTRITION (S0623)'] 	03/14/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1308 	['none']
SB 1309 	SB 	Hall 	Relating to state requirements for teacher training and student instruction regarding certain subjects in public schools. 	['Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--Teachers (I0242)'] 	03/14/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1309 	['none']
SB 1310 	SB 	Hall 	Relating to elimination of the requirement that a school district establish a local school health advisory council. 	['Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--General (I0230),Health--General (I0385),Minors--Health & Safety (I0533),SCHOOL HEALTH EDUCATION ADVISORY COUNCILS (S0227)'] 	03/14/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1310 	['HB 4206', 'filler']
